2019-10-03,All stations on the Sengkang-Punggol (LRT) Systems will close earlier at about 10.15pm on Friday 4 October and open later at 8.00am on Saturday 5 October for urgent maintenance works. Free bridging bus services will be available during this time.- SBS Transit
2019-10-09,NEL Svc is delayed due to a signaling fault at Sengkang Station. Additional travel time of about 15 minutes may be expected. We are sorry.- SBS Transit
2019-10-09,NEL Svc is delayed due to a Signalling fault at Sengkang station. Additional travel time about 10 minutes may be expected. We are sorry.- SBS Transit
2019-10-09,NEL svc is delayed due to a signaling fault at Sengkang Station. Free regular buses svc available btwn Buangkok &amp; Punggol. We are sorry.- SBS Transit
2019-10-09,NEL Svc is delayed due to a signaling fault at Sengkang Station. Additional travel time of about 20 minutes may be expected. We are sorry.- SBS Transit
2019-10-17,Due to intensified maintenance works NEL stations between NE13 Kovan &amp; NE17 Punggol will close earlier at around 11pm on the first four Fridays &amp; Saturdays in Nov. Shuttle Bus 21 will be in operation to serve the closed stations while Svc 325 will run until 12.50am.- SBS Transit
2019-10-20,[NSL]: Due to a platform screen door fault pls add 10mins train travel time from #Yishun to #Novena towards #MarinaSouthPier.- SMRT
2019-09-21,NEL svc is delayed due to a signalling fault. Additional travel time of about 10 minutes may be expected. Free regular bus services available between Punggol and HarbourFront. We are sorry.- SBS Transit
2019-09-21,Update: NEL svc is delayed due to a signalling fault. Additional travel time of 15 minutes may be expected. Free regular bus svc available btw Punggol and HarbourFront. We are sorry.- SBS Transit
2019-09-30,At 0608hrs no LRT Svc for Sengkang and Punggol LRT due to System Fault. Free Regular Bus Svc is available for both Sengkang and Punggol LRT.- SBS Transit
2019-07-16,Due to intensified maintenance works five NEL stations between NE17 Punggol &amp; NE13 Kovan will close earlier at around 11.00pm this Fri &amp; Sat – 19 &amp; 20 July. Shuttle Bus 21 will be in operation to serve the closed stations while Service 325 will run until 12.50am.- SBS Transit
2019-07-17,Due to intensified maintenance works five NEL stations between NE17 Punggol &amp; NE13 Kovan will close earlier at around 11.00pm this Fri &amp; Sat – 19 &amp; 20 July. Shuttle Bus 21 will be in operation to serve the closed stations while Service 325 will run until 12.50am.- SBS Transit
2019-07-19,19/07 8.20am: NEL Svc is delayed due to a track fault at Harbourfront Stn. Additional travel time abt 10mins is expected for both directions. We are sorry- SBS Transit
2019-07-19,19/07 8.32am: NEL Svc is delayed due to a track fault at Harbourfront Stn. Additional travel time of 15 mins is expected for both directions. We are sorry- SBS Transit
2019-07-19,19/07 9.01am: NEL svc is delayed due to a track fault at Harbourfront Stn. Additional travel time of 5 to 10 mins is expected for both directions.- SBS Transit
2019-07-23,Due to intensified maintenance works five NEL stations between NE17 Punggol &amp; NE13 Kovan will close earlier at around 11.00pm this Fri &amp; Sat – 26 &amp; 27 July. Shuttle Bus 21 will be in operation to serve the closed stations while Service 325 will run until 12.50am.- SBS Transit
2019-07-24,Due to intensified maintenance works five NEL stations between NE17 Punggol &amp; NE13 Kovan will close earlier at around 11.00pm this Fri &amp; Sat – 26 &amp; 27 July. Shuttle Bus 21 will be in operation to serve the closed stations while Service 325 will run until 12.50am.- SBS Transit
2019-06-07,Asset renewal &amp; maintenance works will be conducted on the Sengkang LRT system from 16 June to 20 October. Train svc will continue to operate as usual on one platform while the other platform will start svc at 5.30pm. http://bit.ly/2MutVBP- SBS Transit
2019-06-10,Asset renewal &amp; maintenance works will be conducted on the Sengkang LRT system on Sundays from 16 June to 20 October. Train svc will continue to operate as usual on one platform while the other platform will start svc at 5.30pm. http://bit.ly/2MEiXd9- SBS Transit
2019-06-19,Asset renewal &amp; maintenance works will be conducted on the Sengkang LRT system on Sundays from 16 June to 20 October. Train svc will continue to operate as usual on one platform while the other platform will start svc at 5.30pm. http://bit.ly/2MEiXd9- SBS Transit
2019-06-26,Asset renewal &amp; maintenance works will be conducted on the Sengkang LRT system on Sundays from 16 June to 20 October. Train svc will continue to operate as usual on one platform while the other platform will start svc at 5.30pm. http://bit.ly/2MEiXd9- SBS Transit
2019-07-03,Due to intensified maintenance works five NEL stations between NE17 Punggol &amp; NE13 Kovan will close earlier at around 11.00pm this Fri &amp; Sat –  5 &amp; 6 July. Shuttle Bus 21 will be in operation to serve the closed stations while Service 325 will run until 12.50am.- SBS Transit
2019-07-04,Due to intensified maintenance works five NEL stations between NE17 Punggol &amp; NE13 Kovan will close earlier at around 11.00pm this Fri &amp; Sat –  5 &amp; 6 July. Shuttle Bus 21 will be in operation to serve the closed stations while Service 325 will run until 12.50am.- SBS Transit
2019-07-06,[BPLRT] Due to power fault affecting the signalling system there is no train service on BPLRT. Free regular and bridging bus services are available along the affected stations.- SMRT
2019-07-10,Due to intensified maintenance works five NEL stations between NE17 Punggol &amp; NE13 Kovan will close earlier at around 11.00pm this Fri &amp; Sat – 12 &amp; 13 July. Shuttle Bus 21 will be in operation to serve the closed stations while Service 325 will run until 12.50am.- SBS Transit
